23
a2               8327 1643130518176
a                10229 1643130276668
a                10363 1648225895147
d                11835 1643130295709
a                11840 1663002356916
d                12238 1643130331874
d                14329 1643130411930
d                14368 1643130352418
d                14504 1643130314410
a                14654 1663002376502
a                16569 1663002422668
d                18480 1643130255674
a                19121 1663002400134
g                22957 1695253310242
a                23969 1665183952448
hi               28795 1699338266846
me               30236 1695160224896
d                34056 1643384377967
a                43766 1670263105338
s                75537 1643384335015
a                80553 1670281200849
a                86248 1662667800651
me6              212452 1695161049155
